Number,Name,Code,Emoji,Hall of Fame,Comment
187,crossed fingers,U+1F91E,🤞,,
188,hand with index finger and thumb crossed,U+1FAF0,🫰,,
189,love-you gesture,U+1F91F,🤟,,
190,sign of the horns,U+1F918,🤘,,
191,call me hand,U+1F919,🤙,,
hand-single-finger,,,,,
№,CLDR Short Name,Code,Browser,,
192,backhand index pointing left,U+1F448,👈,,
193,backhand index pointing right,U+1F449,👉,,
194,backhand index pointing up,U+1F446,👆,,
195,middle finger,U+1F595,🖕,,
196,backhand index pointing down,U+1F447,👇,,
197,index pointing up,U+261D,☝,,
198,index pointing at the viewer,U+1FAF5,🫵,,
hand-fingers-closed,,,,,
№,CLDR Short Name,Code,Browser,,
199,thumbs up,U+1F44D,👍,,
200,thumbs down,U+1F44E,👎,,
201,raised fist,U+270A,✊,,
202,oncoming fist,U+1F44A,👊,,
203,left-facing fist,U+1F91B,🤛,,
204,right-facing fist,U+1F91C,🤜,,
hands,,,,,
№,CLDR Short Name,Code,Browser,,
205,clapping hands,U+1F44F,👏,,
206,raising hands,U+1F64C,🙌,,
207,heart hands,U+1FAF6,🫶,,
208,open hands,U+1F450,👐,,
209,palms up together,U+1F932,🤲,,
210,handshake,U+1F91D,🤝,,
211,folded hands,U+1F64F,🙏,,
hand-prop,,,,,
№,CLDR Short Name,Code,Browser,,
212,writing hand,U+270D,✍,,
213,nail polish,U+1F485,💅,,
214,selfie,U+1F933,🤳,,
body-parts,,,,,
№,CLDR Short Name,Code,Browser,,
215,flexed biceps,U+1F4AA,💪,,
216,mechanical arm,U+1F9BE,🦾,,
217,mechanical leg,U+1F9BF,🦿,,
218,leg,U+1F9B5,🦵,,
219,foot,U+1F9B6,🦶,,
220,ear,U+1F442,👂,,
221,ear with hearing aid,U+1F9BB,🦻,,
222,nose,U+1F443,👃,,
223,brain,U+1F9E0,🧠,,
224,anatomical heart,U+1FAC0,🫀,,
225,lungs,U+1FAC1,🫁,,
226,tooth,U+1F9B7,🦷,,
227,bone,U+1F9B4,🦴,,
228,eyes,U+1F440,👀,,
229,eye,U+1F441,👁,,
230,tongue,U+1F445,👅,,
231,mouth,U+1F444,👄,,
232,biting lip,U+1FAE6,🫦,,
person,,,,,
№,CLDR Short Name,Code,Browser,,
233,baby,U+1F476,👶,,
234,child,U+1F9D2,🧒,,
235,boy,U+1F466,👦,,
236,girl,U+1F467,👧,,
237,person,U+1F9D1,🧑,,
238,person: blond hair,U+1F471,👱,,
239,man,U+1F468,👨,,
240,person: beard,U+1F9D4,🧔,,
241,man: beard,U+1F9D4 U+200D U+2642 U+FE0F,🧔‍♂️,,
242,woman: beard,U+1F9D4 U+200D U+2640 U+FE0F,🧔‍♀️,,
243,man: red hair,U+1F468 U+200D U+1F9B0,👨‍🦰,,
244,man: curly hair,U+1F468 U+200D U+1F9B1,👨‍🦱,,
245,man: white hair,U+1F468 U+200D U+1F9B3,👨‍🦳,,
246,man: bald,U+1F468 U+200D U+1F9B2,👨‍🦲,,
247,woman,U+1F469,👩,,
248,woman: red hair,U+1F469 U+200D U+1F9B0,👩‍🦰,,
249,person: red hair,U+1F9D1 U+200D U+1F9B0,🧑‍🦰,,
250,woman: curly hair,U+1F469 U+200D U+1F9B1,👩‍🦱,,
251,person: curly hair,U+1F9D1 U+200D U+1F9B1,🧑‍🦱,,
252,woman: white hair,U+1F469 U+200D U+1F9B3,👩‍🦳,,
№,CLDR Short Name,Code,Browser,,
253,person: white hair,U+1F9D1 U+200D U+1F9B3,🧑‍🦳,,
254,woman: bald,U+1F469 U+200D U+1F9B2,👩‍🦲,,
255,person: bald,U+1F9D1 U+200D U+1F9B2,🧑‍🦲,,
256,woman: blond hair,U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,,
257,man: blond hair,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,,
258,older person,U+1F9D3,🧓,,
259,old man,U+1F474,👴,,
260,old woman,U+1F475,👵,,
person-gesture,,,,,
№,CLDR Short Name,Code,Browser,,
261,person frowning,U+1F64D,🙍,,
262,man frowning,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,,
263,woman frowning,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,,
264,person pouting,U+1F64E,🙎,,
265,man pouting,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,,
266,woman pouting,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,,
267,person gesturing NO,U+1F645,🙅,,
268,man gesturing NO,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,,
269,woman gesturing NO,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,,
270,person gesturing OK,U+1F646,🙆,,
271,man gesturing OK,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,,
272,woman gesturing OK,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,,
273,person tipping hand,U+1F481,💁,,
274,man tipping hand,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,,
275,woman tipping hand,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,,
276,person raising hand,U+1F64B,🙋,,
277,man raising hand,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,,
278,woman raising hand,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,,
279,deaf person,U+1F9CF,🧏,,
280,deaf man,U+1F9CF U+200D U+2642 U+FE0F,🧏‍♂️,,
№,CLDR Short Name,Code,Browser,,
281,deaf woman,U+1F9CF U+200D U+2640 U+FE0F,🧏‍♀️,,
282,person bowing,U+1F647,🙇,,
283,man bowing,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,,
284,woman bowing,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,,
285,person facepalming,U+1F926,🤦,,
286,man facepalming,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,,
287,woman facepalming,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,,
288,person shrugging,U+1F937,🤷,,
289,man shrugging,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,,
290,woman shrugging,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,,
person-role,,,,,
№,CLDR Short Name,Code,Browser,,
291,health worker,U+1F9D1 U+200D U+2695 U+FE0F,🧑‍⚕️,,
292,man health worker,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,,
293,woman health worker,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,,
294,student,U+1F9D1 U+200D U+1F393,🧑‍🎓,,
295,man student,U+1F468 U+200D U+1F393,👨‍🎓,,
296,woman student,U+1F469 U+200D U+1F393,👩‍🎓,,
297,teacher,U+1F9D1 U+200D U+1F3EB,🧑‍🏫,,
298,man teacher,U+1F468 U+200D U+1F3EB,👨‍🏫,,
299,woman teacher,U+1F469 U+200D U+1F3EB,👩‍🏫,,
300,judge,U+1F9D1 U+200D U+2696 U+FE0F,🧑‍⚖️,,
301,man judge,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,,
302,woman judge,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,,
303,farmer,U+1F9D1 U+200D U+1F33E,🧑‍🌾,,
304,man farmer,U+1F468 U+200D U+1F33E,👨‍🌾,,
305,woman farmer,U+1F469 U+200D U+1F33E,👩‍🌾,,
306,cook,U+1F9D1 U+200D U+1F373,🧑‍🍳,,
307,man cook,U+1F468 U+200D U+1F373,👨‍🍳,,
308,woman cook,U+1F469 U+200D U+1F373,👩‍🍳,,
309,mechanic,U+1F9D1 U+200D U+1F527,🧑‍🔧,,
310,man mechanic,U+1F468 U+200D U+1F527,👨‍🔧,,
№,CLDR Short Name,Code,Browser,,
311,woman mechanic,U+1F469 U+200D U+1F527,👩‍🔧,,
312,factory worker,U+1F9D1 U+200D U+1F3ED,🧑‍🏭,,
313,man factory worker,U+1F468 U+200D U+1F3ED,👨‍🏭,,
314,woman factory worker,U+1F469 U+200D U+1F3ED,👩‍🏭,,
315,office worker,U+1F9D1 U+200D U+1F4BC,🧑‍💼,,
316,man office worker,U+1F468 U+200D U+1F4BC,👨‍💼,,
317,woman office worker,U+1F469 U+200D U+1F4BC,👩‍💼,,
318,scientist,U+1F9D1 U+200D U+1F52C,🧑‍🔬,,
319,man scientist,U+1F468 U+200D U+1F52C,👨‍🔬,,
320,woman scientist,U+1F469 U+200D U+1F52C,👩‍🔬,,
321,technologist,U+1F9D1 U+200D U+1F4BB,🧑‍💻,,
322,man technologist,U+1F468 U+200D U+1F4BB,👨‍💻,,
323,woman technologist,U+1F469 U+200D U+1F4BB,👩‍💻,,
324,singer,U+1F9D1 U+200D U+1F3A4,🧑‍🎤,,
325,man singer,U+1F468 U+200D U+1F3A4,👨‍🎤,,
326,woman singer,U+1F469 U+200D U+1F3A4,👩‍🎤,,
327,artist,U+1F9D1 U+200D U+1F3A8,🧑‍🎨,,
328,man artist,U+1F468 U+200D U+1F3A8,👨‍🎨,,
329,woman artist,U+1F469 U+200D U+1F3A8,👩‍🎨,,
330,pilot,U+1F9D1 U+200D U+2708 U+FE0F,🧑‍✈️,,
№,CLDR Short Name,Code,Browser,,
331,man pilot,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,,
332,woman pilot,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,,
333,astronaut,U+1F9D1 U+200D U+1F680,🧑‍🚀,,
334,man astronaut,U+1F468 U+200D U+1F680,👨‍🚀,,
335,woman astronaut,U+1F469 U+200D U+1F680,👩‍🚀,,
336,firefighter,U+1F9D1 U+200D U+1F692,🧑‍🚒,,
337,man firefighter,U+1F468 U+200D U+1F692,👨‍🚒,,
338,woman firefighter,U+1F469 U+200D U+1F692,👩‍🚒,,
339,police officer,U+1F46E,👮,,
340,man police officer,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,,
341,woman police officer,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,,
342,detective,U+1F575,🕵,,
343,man detective,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,,
344,woman detective,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,,
345,guard,U+1F482,💂,,
346,man guard,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,,
